Concentration,Conc_Value,Vmax,Km,F0,Fmax,k,R_squared
0.3125 ug/mL,0.3125,15761.704364410598,4503.667281240919,0.41824507712711695,9007.752807558965,1.7498744223471692,0.9896076472970772
0.625 ug/mL,0.625,25699.209694464724,5459.400996687891,0.007367213926867797,10918.809360589708,2.3536656961135405,0.9978761232335678
1.25 ug/mL,1.25,35667.94050759715,6810.637081344976,0.00244369373300454,13621.276606383684,2.6185465531040593,0.9990965466387678
2.5 ug/mL,2.5,30137.486354116514,7320.354179992473,0.052281112844841715,14640.760641097791,2.058471872610097,0.9974229286192803
5.0 ug/mL,5.0,35177.003212723124,7937.942009217066,-0.017328118198067,15875.866690315934,2.2157508313790704,0.9978828968572804
