Concentration,F0,Fmax,Vmax,Km,k_rate,Equation
0.3125 ug/mL,0.41824507712711695,9007.752807558965,15761.704364410598,4503.667281240919,1.7498744223471692,F(t) = 0.42 + (9007.75) * [1 - exp(-1.7499*t)]
0.625 ug/mL,0.007367213926867797,10918.809360589708,25699.209694464724,5459.400996687891,2.3536656961135405,F(t) = 0.00 + (10918.81) * [1 - exp(-2.3537*t)]
1.25 ug/mL,0.00244369373300454,13621.276606383684,35667.94050759715,6810.637081344976,2.6185465531040593,F(t) = 0.00 + (13621.28) * [1 - exp(-2.6185*t)]
2.5 ug/mL,0.052281112844841715,14640.760641097791,30137.486354116514,7320.354179992473,2.058471872610097,F(t) = 0.05 + (14640.76) * [1 - exp(-2.0585*t)]
5.0 ug/mL,-0.017328118198067,15875.866690315934,35177.003212723124,7937.942009217066,2.2157508313790704,F(t) = -0.02 + (15875.87) * [1 - exp(-2.2158*t)]
