Concentration,Concentration [ug/mL],Time_min,RFU_Interpolated,Is_Extrapolated
Calibration Curve,,7.8765,,False
Calibration Curve,,7.920999999999999,,False
Calibration Curve,,7.9655,,False
Calibration Curve,,8.01,,False
Calibration Curve,,8.054499999999999,,False
Calibration Curve,,8.099,,False
Calibration Curve,,8.1435,,False
Calibration Curve,,8.187999999999999,,False
Calibration Curve,,8.2325,,False
Calibration Curve,,8.277,,False
Calibration Curve,,8.3215,,False
Calibration Curve,,8.366,,False
Calibration Curve,,8.410499999999999,,False
Calibration Curve,,8.455,,False
Calibration Curve,,8.4995,,False
Calibration Curve,,8.544,,False
Calibration Curve,,8.5885,,False
Calibration Curve,,8.633,,False
Calibration Curve,,8.6775,,False
Calibration Curve,,8.722,,False
Calibration Curve,,8.766499999999999,,False
Calibration Curve,,8.811,,False
Calibration Curve,,8.8555,,False
Calibration Curve,,8.9,,False
Calibration Curve,,8.9445,,False
Calibration Curve,,8.988999999999999,,False
Calibration Curve,,9.0335,,False
Calibration Curve,,9.078,,False
Calibration Curve,,9.122499999999999,,False
Calibration Curve,,9.167,,False
Calibration Curve,,9.2115,,False
Calibration Curve,,9.256,,False
Calibration Curve,,9.3005,,False
Calibration Curve,,9.344999999999999,,False
Calibration Curve,,9.3895,,False
Calibration Curve,,9.434,,False
Calibration Curve,,9.4785,,False
Calibration Curve,,9.523,,False
Calibration Curve,,9.567499999999999,,False
Calibration Curve,,9.612,,False
Calibration Curve,,9.6565,,False
Calibration Curve,,9.700999999999999,,False
Calibration Curve,,9.7455,,False
Calibration Curve,,9.79,,False
Calibration Curve,,9.8345,,False
Calibration Curve,,9.879,,False
Calibration Curve,,9.923499999999999,,False
Calibration Curve,,9.968,,False
Calibration Curve,,10.0125,,False
Calibration Curve,,10.057,,False
Calibration Curve,,10.1015,,False
Calibration Curve,,10.145999999999999,,False
Calibration Curve,,10.1905,,False
Calibration Curve,,10.235,,False
Calibration Curve,,10.279499999999999,,False
Calibration Curve,,10.324,,False
Calibration Curve,,10.3685,,False
Calibration Curve,,10.413,,False
Calibration Curve,,10.4575,,False
Calibration Curve,,10.501999999999999,,False
Calibration Curve,,10.5465,,False
Calibration Curve,,10.591,,False
Calibration Curve,,10.635499999999999,,False
Calibration Curve,,10.68,,False
Calibration Curve,,10.724499999999999,,False
Calibration Curve,,10.769,,False
Calibration Curve,,10.8135,,False
Calibration Curve,,10.857999999999999,,False
Calibration Curve,,10.9025,,False
Calibration Curve,,10.947,,False
Calibration Curve,,10.9915,,False
Calibration Curve,,11.036,,False
Calibration Curve,,11.080499999999999,,False
Calibration Curve,,11.125,,False
Calibration Curve,,11.1695,,False
Calibration Curve,,11.213999999999999,,False
Calibration Curve,,11.2585,,False
Calibration Curve,,11.302999999999999,,False
Calibration Curve,,11.3475,,False
Calibration Curve,,11.392,,False
Calibration Curve,,11.436499999999999,,False
Calibration Curve,,11.481,,False
Calibration Curve,,11.5255,,False
Calibration Curve,,11.57,,False
Calibration Curve,,11.6145,,False
Calibration Curve,,11.658999999999999,,False
Calibration Curve,,11.7035,,False
Calibration Curve,,11.748,,False
Calibration Curve,,11.792499999999999,,False
Calibration Curve,,11.837,,False
Calibration Curve,,11.881499999999999,,False
Calibration Curve,,11.926,,False
Calibration Curve,,11.9705,,False
Calibration Curve,,12.014999999999999,,False
Calibration Curve,,12.0595,,False
Calibration Curve,,12.104,,False
Calibration Curve,,12.1485,,False
Calibration Curve,,12.193,,False
Calibration Curve,,12.237499999999999,,False
Calibration Curve,,12.282,,False
Calibration Curve,,12.3265,,False
Calibration Curve,,12.370999999999999,,False
Calibration Curve,,12.4155,,False
Calibration Curve,,12.459999999999999,,False
Calibration Curve,,12.5045,,False
Calibration Curve,,12.549,,False
Calibration Curve,,12.593499999999999,,False
Calibration Curve,,12.638,,False
Calibration Curve,,12.6825,,False
Calibration Curve,,12.726999999999999,,False
Calibration Curve,,12.7715,,False
Calibration Curve,,12.815999999999999,,False
Calibration Curve,,12.8605,,False
Calibration Curve,,12.905,,False
Calibration Curve,,12.949499999999999,,False
Calibration Curve,,12.994,,False
Calibration Curve,,13.038499999999999,,False
Calibration Curve,,13.083,,False
Calibration Curve,,13.1275,,False
Calibration Curve,,13.171999999999999,,False
Calibration Curve,,13.2165,,False
Calibration Curve,,13.261,,False
Calibration Curve,,13.305499999999999,,False
Calibration Curve,,13.35,,False
Calibration Curve,,13.394499999999999,,False
Calibration Curve,,13.439,,False
Calibration Curve,,13.4835,,False
Calibration Curve,,13.527999999999999,,False
Calibration Curve,,13.5725,,False
Calibration Curve,,13.616999999999999,,False
Calibration Curve,,13.6615,,False
Calibration Curve,,13.706,,False
Calibration Curve,,13.750499999999999,,False
Calibration Curve,,13.795,,False
Calibration Curve,,13.8395,,False
Calibration Curve,,13.883999999999999,,False
Calibration Curve,,13.9285,,False
Calibration Curve,,13.972999999999999,,False
Calibration Curve,,14.0175,,False
Calibration Curve,,14.062,,False
Calibration Curve,,14.106499999999999,,False
Calibration Curve,,14.151,,False
Calibration Curve,,14.1955,,False
Calibration Curve,,14.239999999999998,,False
Calibration Curve,,14.2845,,False
Calibration Curve,,14.328999999999999,,False
Calibration Curve,,14.3735,,False
Calibration Curve,,14.418,,False
Calibration Curve,,14.462499999999999,,False
Calibration Curve,,14.507,,False
Calibration Curve,,14.551499999999999,,False
Calibration Curve,,14.596,,False
Calibration Curve,,14.6405,,False
Calibration Curve,,14.684999999999999,,False
Calibration Curve,,14.7295,,False
Calibration Curve,,14.774,,False
Calibration Curve,,14.818499999999998,,False
Calibration Curve,,14.863,,False
Calibration Curve,,14.907499999999999,,False
Calibration Curve,,14.952,,False
Calibration Curve,,14.9965,,False
Calibration Curve,,15.040999999999999,,False
Calibration Curve,,15.0855,,False
Calibration Curve,,15.129999999999999,,False
Calibration Curve,,15.1745,,False
Calibration Curve,,15.219,,False
Calibration Curve,,15.263499999999999,,False
Calibration Curve,,15.308,,False
Calibration Curve,,15.3525,,False
Calibration Curve,,15.396999999999998,,False
Calibration Curve,,15.4415,,False
Calibration Curve,,15.485999999999999,,False
Calibration Curve,,15.5305,,False
